Existence of commercial and service activities by type - self employment,Existence of commercial and service activities by type - public sector,Town,Existence of commercial and service activities by type - banking institutions,refArea,Total number of commercial institutions by size - number of medium-sized institutions,Total number of commercial institutions by size - number of large-sized institutions,Observation URI,Existence of commercial and service activities by type - service institutions,Total number of non banking financial institutions ,Percentage of small and medium sized commercial institutions,publisher,dataset,Total number of commercial institutions by size - number of small institutions,Total number of service institutions ,references,Existence of commercial and service activities by type - commerce
0,0,Bouaida,0,http://dbpedia.org/resource/Marjeyoun_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bouaida,1,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,1,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Bouar,0,http://dbpedia.org/resource/Keserwan_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bouar,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Bouarej,0,http://dbpedia.org/resource/ZahlÃ©_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bouarej,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,0,Boulhos,0,http://dbpedia.org/resource/Byblos_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Boulhos,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,0,Bourj El Arab,0,https://dbpedia.org/page/Akkar_Governorate,2,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bourj+El+Arab,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,40,0,https://impact.cib.gov.lb/home#open_data_section,1
1,1,Bourj El-Brajneh,1,http://dbpedia.org/resource/Baabda_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bourj+El-Brajneh,1,40,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,1
0,0,Bourj Hammoud,0,http://dbpedia.org/resource/Matn_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bourj+Hammoud,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,1,Bourjein,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bourjein,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,9,0,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Boussit,0,http://dbpedia.org/resource/Zgharta_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Boussit,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,1,Boustane,0,http://dbpedia.org/resource/Tyre_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Boustane,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Boustane Heresh,0,https://dbpedia.org/page/Akkar_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Boustane+Heresh,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Boutchay,0,http://dbpedia.org/resource/Baabda_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Boutchay,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,89,0,https://impact.cib.gov.lb/home#open_data_section,1
0,0,Bqaa Kafra,0,http://dbpedia.org/resource/Bsharri_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bqaa+Kafra,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,10,0,https://impact.cib.gov.lb/home#open_data_section,1
0,0,Bqaa Sefrine,0,http://dbpedia.org/resource/MiniyehâDanniyeh_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bqaa+Sefrine,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,20,0,https://impact.cib.gov.lb/home#open_data_section,1
0,1,Bqaatouta,0,http://dbpedia.org/resource/Keserwan_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bqaatouta,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,0,Bqarsouna,0,http://dbpedia.org/resource/MiniyehâDanniyeh_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bqarsouna,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Bqerqacha,0,http://dbpedia.org/resource/Bsharri_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bqerqacha,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,0,Bqerzla,0,https://dbpedia.org/page/Akkar_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bqerzla,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,15,0,https://impact.cib.gov.lb/home#open_data_section,1
0,0,Bqosta,0,http://dbpedia.org/resource/Sidon_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bqosta,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,35,0,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Braiqeaa,0,https://dbpedia.org/page/Nabatieh_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Braiqeaa,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,25,0,https://impact.cib.gov.lb/home#open_data_section,1
0,0,Bramiyeh,0,http://dbpedia.org/resource/Sidon_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bramiyeh,1,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,4,https://impact.cib.gov.lb/home#open_data_section,0
0,0,Breissat,0,http://dbpedia.org/resource/Bsharri_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Breissat,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,3,0,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Brih,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Brih,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,1,Brital,0,https://dbpedia.org/page/Baalbek-Hermel_Governorate,5,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Brital,1,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,350,10,https://impact.cib.gov.lb/home#open_data_section,1
0,0,Broummana El-Matn,0,http://dbpedia.org/resource/Matn_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Broummana+El-Matn,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Bsaba Baabda,0,http://dbpedia.org/resource/Baabda_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bsaba+Baabda,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,1,Bsaba Ech-Chouf,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bsaba+Ech-Chouf,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Bsalim,0,http://dbpedia.org/resource/Matn_District,200,30,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bsalim,0,0,9.434e+01,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,300,0,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Bsalya,0,https://dbpedia.org/page/South_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bsalya,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Bsarma,0,https://dbpedia.org/page/North_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bsarma,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,0,Bsous,0,http://dbpedia.org/resource/Aley_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bsous,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,0,Btaaboura,0,https://dbpedia.org/page/North_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Btaaboura,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,2,0,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Btalloun,0,http://dbpedia.org/resource/Aley_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Btalloun,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,0,Btater,0,http://dbpedia.org/resource/Aley_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Btater,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Btedaai,0,https://dbpedia.org/page/Baalbek-Hermel_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Btedaai,1,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,15,2,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Btedine El-Leqch,0,https://dbpedia.org/page/South_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Btedine+El-Leqch,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,1
1,1,Bteghrine,0,http://dbpedia.org/resource/Matn_District,2,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bteghrine,1,2,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,100,1,https://impact.cib.gov.lb/home#open_data_section,1
0,1,Btekhnay,0,http://dbpedia.org/resource/Baabda_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Btekhnay,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,5,0,https://impact.cib.gov.lb/home#open_data_section,1
0,0,Btermaz,0,http://dbpedia.org/resource/MiniyehâDanniyeh_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Btermaz,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,7,0,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Bterram,0,https://dbpedia.org/page/North_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bterram,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Btouratij,1,https://dbpedia.org/page/North_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Btouratij,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Byaqout,0,http://dbpedia.org/resource/Matn_District,25,10,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Byaqout,0,0,9.091e+01,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,75,0,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Bzal,0,https://dbpedia.org/page/Akkar_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bzal,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,40,0,https://impact.cib.gov.lb/home#open_data_section,1
0,1,Bziza,0,https://dbpedia.org/page/North_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bziza,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Bzoummar,0,http://dbpedia.org/resource/Keserwan_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Bzoummar,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Chaaitiyeh-Malkiyah,0,http://dbpedia.org/resource/Tyre_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Chaaitiyeh-Malkiyah,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,0,Chaat,0,https://dbpedia.org/page/Baalbek-Hermel_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Chaat,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,1,Chadra,0,https://dbpedia.org/page/Akkar_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Chadra,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,1
0,0,Chahtoul,0,http://dbpedia.org/resource/Keserwan_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Chahtoul,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,0,Chamaa,0,http://dbpedia.org/resource/Tyre_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Chamaa,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Chamate,0,http://dbpedia.org/resource/Byblos_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Chamate,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,11,0,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Chanay,0,http://dbpedia.org/resource/Aley_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Chanay,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,10,0,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Chane,0,https://dbpedia.org/page/Akkar_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Chane,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,0,Chaouiyeh,0,http://dbpedia.org/resource/Matn_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Chaouiyeh,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,0,Chaqdouf,0,https://dbpedia.org/page/Akkar_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Chaqdouf,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,3,0,https://impact.cib.gov.lb/home#open_data_section,1
1,1,Charbila,0,https://dbpedia.org/page/Akkar_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Charbila,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Charbine El-Hermel,0,http://dbpedia.org/resource/Hermel_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Charbine+El-Hermel,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Charoun,0,http://dbpedia.org/resource/Aley_District,4,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Charoun,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,9,0,https://impact.cib.gov.lb/home#open_data_section,1
1,1,Charqiyeh,0,https://dbpedia.org/page/Nabatieh_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Charqiyeh,1,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,27,1,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Chartoun,0,http://dbpedia.org/resource/Aley_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Chartoun,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Chebaa,0,http://dbpedia.org/resource/Hasbaya_District,6,8,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Chebaa,1,0,5.294e+01,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,3,2,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Chehabiyeh,0,http://dbpedia.org/resource/Tyre_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Chehabiyeh,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,150,0,https://impact.cib.gov.lb/home#open_data_section,1
0,0,Chehabiyeh Faour,0,http://dbpedia.org/resource/ZahlÃ©_District,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Chehabiyeh+Faour,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,2,0,https://impact.cib.gov.lb/home#open_data_section,1
0,0,Chehour,0,http://dbpedia.org/resource/Tyre_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Chehour,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Cheikh Ayash,0,https://dbpedia.org/page/Akkar_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Cheikh+Ayash,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Cheikh Mohammad,0,https://dbpedia.org/page/Akkar_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Cheikh+Mohammad,0,2,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,250,0,https://impact.cib.gov.lb/home#open_data_section,1
0,0,Cheikh Taba,0,https://dbpedia.org/page/Akkar_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Cheikh+Taba,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Cheikh Zennad,0,https://dbpedia.org/page/Akkar_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Cheikh+Zennad,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,1,Cheikhlar,0,https://dbpedia.org/page/Akkar_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Cheikhlar,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,1,Chhim,1,https://dbpedia.org/page/Mount_Lebanon_Governorate,5,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Chhim,0,5,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,250,0,https://impact.cib.gov.lb/home#open_data_section,1
0,0,Chibtine,0,http://dbpedia.org/resource/Batroun_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Chibtine,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,14,0,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Chihine,0,http://dbpedia.org/resource/Tyre_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Chihine,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,0,Chikhane,0,http://dbpedia.org/resource/Byblos_District,2,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Chikhane,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,5,0,https://impact.cib.gov.lb/home#open_data_section,1
0,0,Chikka,0,http://dbpedia.org/resource/Batroun_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Chikka,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
1,0,Chimlane,0,http://dbpedia.org/resource/Aley_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Chimlane,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,0,Chiyah,1,http://dbpedia.org/resource/Baabda_District,15,5,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Chiyah,1,10,9.984e+01,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,3200,12,https://impact.cib.gov.lb/home#open_data_section,1
0,0,Chlifa,0,https://dbpedia.org/page/Baalbek-Hermel_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Chlifa,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,0,Chmistar,0,https://dbpedia.org/page/Baalbek-Hermel_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Chmistar,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
0,0,Chnanaair,0,http://dbpedia.org/resource/Keserwan_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Chnanaair,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,5,0,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Choualiq Jezzine,0,https://dbpedia.org/page/South_Governorate,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Choualiq+Jezzine,0,0,1e+02,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,20,0,https://impact.cib.gov.lb/home#open_data_section,1
1,0,Chouaya Hasbaiya,0,http://dbpedia.org/resource/Hasbaya_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Chouaya+Hasbaiya,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,1
0,0,Chouaya Maten,0,http://dbpedia.org/resource/Matn_District,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Chouaya+Maten,0,0,0e+00,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,0,0,https://impact.cib.gov.lb/home#open_data_section,0
